1952,1658
1906,1652
1869,1658
1608,1867
1533,1510
1684,1631
1624,1620
1581,1621
1589,1593
1718,1410
1582,1533
1503,1509
1417,1906
1642,1684
1642,1952
1617,1718
1666,1624
1858,1581
1658,1608
1652,1589
1637,1869
1501,1582
1488,1503
1656,1902
1944,1642
1608,1584
1515,1435
1916,1617
1664,1858
1610,1637
1729,1652
1622,1642
1423,1658
1632,1501
1588,1439
1529,1488
1394,1511
1866,1666
1483,1432
1432,1492
1503,1282
1227,1480
1610,1652
1834,1944
1653,1866
1580,1664
1634,1916
1635,1729
1653,1610
1659,1622
1521,1632
1470,1588
1521,1503
1470,1483
1419,1529
1468,1394
1413,1432
1299,1515
1437,1227
1601,1423
1903,1635
1958,1580
1650,1634
1669,1601
1618,1468
1487,1521
1491,1521
1431,1470
1402,1437
1615,1834
1742,1653
1639,1653
1445,1610
1584,1413
1512,1447
1245,1470
1848,1659
1536,1299
1853,1669
1630,1742
1441,1584
1842,1848
1657,1639
1642,1650
1588,1595
1464,1491
1507,1431
1445,1402
1322,1458
1636,1903
1584,1615
1640,1445
1529,1536
1433,1618
1523,1487
1651,1958
1411,1245
1633,1842
1493,1433
1894,1630
1631,1636
1600,1651
1615,1640
1566,1507
1558,1523
1614,1445
1418,1411
1947,1588
1732,1657
1458,1642
1429,1529
1476,1464
1431,1322
1266,1441
1857,1584
1681,1894
1534,1431
1420,1418
1850,1732
1672,1857
1636,1631
1610,1628
1415,1614
1470,1493
1426,1476
1508,1327
1946,1600
1623,1615
1569,1633
1471,1558
1504,1429
1563,1266
1649,1458
1839,1946
1614,1681
1730,1569
1604,1610
1424,1563
1482,1470
1425,1471
1489,1415
1884,1850
1652,1672
1618,1649
1614,1420
1554,1426
1352,1534
1281,1508
1622,1623
1478,1636
1448,1504
1965,2321
1688,1730
1495,1554
1424,1489
1411,1482
1843,1614
1583,1884
1599,1610
1692,1478
1502,1448
1423,1425
1269,1424
1963,1652
1661,1622
1611,1618
1576,1614
1509,1517
1486,1352
1578,1839
1465,1424
1529,1411
1495,1576
1422,1495
1599,1269
1414,1423
1493,1486
1421,1509
1376,1502
1722,1963
1894,1688
1640,1661
1669,1578
1631,1583
1551,1465
1446,1529
1421,1422
1862,1599
1490,1843
1621,1611
1419,1599
1510,1414
1439,1376
1283,1495
1616,1692
1512,1497
1470,1493
1957,1894
1680,1834
1869,1669
1538,1551
1411,1446
1401,1421
1948,1890
1610,1640
1593,1639
1560,1490
1606,1512
1503,1470
1530,1439
1381,1510
1697,1621
1572,1722
1475,1419
1467,1283
1819,1616
1669,1631
1532,1411
1448,1401
1524,1530
1500,1476
1400,1503
1423,1381
1598,1475
1430,1467
1295,1538
2311,1948
1651,1593
1722,1869
1613,1819
1627,1560
1515,1669
1532,1524
1422,1532
1499,1423
1896,1572
1629,1697
1641,1610
1485,1500
1507,1400
1399,1448
1396,1295
1636,1952
1480,1598
1537,1430
1826,1629
1457,1499
1879,1896
1711,1641
1646,1627
1587,1636
1499,1507
1506,1480
